Vaxei,16843,98.66,137197,57,890,988
idke,16286,99.23,60920,26,691,626
FlyingTuna,16023,98.07,91309,37,746,658
Freddie Benson,15914,98.09,66975,14,508,916
Micca,15626,98.68,104473,77,763,616
Alumetri,15578,97.88,76145,23,481,437
Varvalian,15387,99.39,199230,613,2435,1508
Karthy,15321,98.88,139367,778,3549,2499
RyuK,15285,98.65,167465,109,1930,1237
Mathi,15066,98.64,148010,32,950,903
firebat92,14948,98.86,141931,178,1536,881
Rafis,14940,98.55,267647,204,2077,1379
Dustice,14831,99.08,102962,131,2741,1783
fieryrage,14798,97.56,103713,114,1432,1065
DanyL,14735,98.59,113804,109,1317,517
Weabole,14709,97.40,101954,47,273,232
chocomint,14695,98.81,26323,113,729,567
Spare,14584,99.04,147312,821,2716,2033
a_Blue,14576,95.53,114220,9,414,402
azr8,14493,99.22,80390,37,583,1355
filsdelama,14386,99.16,149496,277,1806,785
uyghti,14277,98.97,189458,129,1233,1389
badeu,14266,97.73,78771,132,1425,1229
ASecretBox,14261,98.32,148953,43,576,927
Abyssal,14208,99.00,122525,55,777,1164
Dereban,14074,97.98,119777,84,914,1117
Gayzmcgee,14072,98.55,118792,60,1037,1273
okinamo,13973,99.22,82464,56,900,1570
Gasha,13920,98.22,153258,317,2106,1527
-Hebel-,13917,98.65,140301,168,1662,834
obtio,13914,97.24,163462,59,1049,1189
FGSky,13815,94.96,213374,47,600,792
Demonical,13771,98.07,149864,34,836,1048
lain,13695,98.57,188919,475,2119,872
Vamhi,13659,95.75,113586,16,349,500
BeasttrollMC,13555,98.72,93252,89,1633,1238
Umbre,13523,99.45,187818,242,1192,1829
jpeg,13367,96.76,116798,21,370,798
Hide On Note,13316,99.05,38258,24,793,1061
Arnold24x24,13253,97.97,133500,408,1274,860
Bartek22830,13230,97.81,148966,183,1888,1874
InBefore,13177,96.80,98856,5,362,733
Informous,13165,97.41,86266,63,903,1567
MoeYandere,13159,98.10,163324,40,1946,1376
X i a,13152,94.10,97735,11,710,766
Reyuza,13150,98.26,85445,80,1146,1445
Dumii,13149,98.06,162264,172,1960,2282
Maxim Bogdan,13141,97.41,100732,91,742,641
mcy4,13128,97.46,182094,19,910,1371
Bubbleman,13127,98.48,102714,130,1171,1779
Ponytail,13119,96.13,82354,65,1038,1266
Toy,13080,99.51,254905,8774,4011,1171
Afrodafro,13074,98.75,146388,67,799,1184
Wakson,13065,99.53,119605,197,966,1314
-PloX,13050,98.13,172251,189,858,1473
Emilia,13031,95.78,113633,47,1634,1434
Skydiver,13029,98.44,116822,55,850,1062
im a fancy lad,13027,97.45,58318,89,958,890
Vento,13025,98.43,109252,104,733,471
doki,13001,94.50,112842,17,601,870
Yuuzinho,12991,98.40,174164,151,1268,1177
Nameless Player,12928,99.40,17151,136,975,952
Iliekwaffles,12915,97.66,82067,22,553,841
smh,12903,98.67,63653,84,738,906
SpicabuP,12853,97.29,99740,68,727,540
Rizer,12833,99.27,126735,2338,6609,1316
Ayla,12804,98.66,226378,28,525,1227
ThePooN,12763,98.85,88788,77,1277,1012
Nalian,12759,97.68,105321,22,1106,1103
Andrej,12759,98.56,136901,28,950,958
-Reuto-,12749,98.14,62115,30,760,775
MrBooM,12736,99.06,75417,41,1346,1050
Piggey,12703,98.98,158740,184,2393,1374
Mlaw,12679,99.27,105519,267,3271,1844
- Nikliu -,12651,98.48,99453,58,1101,947
kablaze,12641,98.90,162496,958,2415,1809
wuhua,12636,97.41,238943,306,1692,1487
jot_bab,12635,98.65,89116,15,271,170
eternum,12630,98.47,38995,628,1116,686
Xilver15,12592,99.22,336552,564,4015,1487
WubWoofWolf,12584,99.19,269636,10654,10674,2856
Musty,12554,98.86,132023,157,2094,1733
Rohulk,12548,99.49,55723,102,2518,2626
Mathyu,12545,97.82,131738,74,885,966
Mastasz,12536,98.60,80604,198,1958,910
-Hideki-,12507,98.41,150633,73,725,783
Jordan The Bear,12505,98.26,84058,28,973,1106
Zheng Jiang,12497,98.12,100453,29,631,1079
Yaong,12467,99.44,113402,1199,3213,458
Red_Pixel,12462,98.58,108137,48,966,1134
Viveliam,12440,99.31,210569,94,2742,2207
Snorlaax,12437,97.93,93193,28,567,971
Ralidea,12432,99.29,79459,126,346,190
Koba,12423,99.47,256951,658,2476,1677
Nadir,12402,98.40,98750,58,498,941
[ Zane ],12394,98.51,165245,189,2609,1947
Paraqeet,12387,96.80,81915,38,309,598
thaibuy,12386,98.99,78911,147,2099,1641
Knalli,12382,98.97,62407,145,1598,1794
bloo,12372,98.80,126414,93,705,614
Zeisen-,12341,98.12,78965,18,778,1372
Cappy,12338,99.31,118326,264,2181,1671
- akari-,12330,97.44,345356,136,1768,2054
WakaiYuki,12328,97.58,98869,158,896,1006
hallowatcher,12315,99.61,125804,198,1709,1192
Andros,12301,97.27,44700,24,585,377
Zmatureeno,12294,98.53,138464,47,760,741
Wilchq,12271,99.36,112528,5048,5409,554
MightyDoc,12270,98.02,110748,58,1352,1484
Dream Fire,12239,96.13,60349,47,448,511
kazamabc,12196,98.76,149916,82,1231,1122
dectopia,12196,97.74,44359,49,477,964
ItsKevZii,12193,98.36,162065,70,1552,1659
VoProSSoFF,12166,97.81,117531,76,690,793
Zeklewa,12163,98.30,39105,35,721,734
LoidKun,12160,97.27,174487,932,3307,1589
_index,12159,98.59,82396,441,1815,738
Risiing,12156,98.92,121886,274,1477,566
-DuckLeader-,12156,99.41,101462,105,679,122
Num5119,12147,98.43,137710,75,1096,1674
theez,12134,99.18,63605,95,558,701
Spazza17,12133,99.05,93926,319,2323,1491
Skill,12115,99.46,112796,512,2189,1350
Danidesu,12096,97.40,84019,46,701,1196
Hungah,12093,98.04,84487,15,551,635
Blairzey,12074,98.84,208967,118,952,1340
Monko2k,12071,99.13,82585,109,2031,2141
xxluizxx47,12060,98.19,94897,134,866,1089
Adamqs,12058,98.45,199871,406,2655,1272
t[-_-t],12053,98.09,171585,74,1637,1516
King Lizard,12031,97.10,152922,32,1345,2461
ikaNyai,12014,95.23,66571,329,419,739
Astar,12007,97.39,169928,106,2033,1690
Rean-K,12007,97.74,82856,25,1322,1157
Blobby3000,11977,98.77,93477,73,1009,1602
Sakke,11971,98.31,79074,15,346,362
talala,11966,98.18,211699,152,2611,1921
[Takaga],11952,98.20,69927,149,1266,1336
Neliel,11940,98.73,154035,42,1905,1068
Reedkatt,11919,97.06,70474,167,2096,1643
Mizuru,11909,98.78,100284,91,983,1358
Fobxx,11904,99.02,79488,9,200,220
-Roxas,11891,98.99,88204,465,5118,2055
GfMRT,11888,98.97,100687,586,3614,1111
Rairiku,11887,97.04,66123,39,1097,1005
Clarity,11875,98.42,102183,316,1505,420
Aknama,11847,97.11,175815,50,534,836
MyAngelMiku,11826,98.42,96502,19,505,1157
AxewB,11818,99.13,112967,68,1074,918
Hasawa Kraenes,11813,99.02,85946,6,1138,1466
PandaCattle,11794,97.27,132880,20,715,971
HappyStick,11792,98.54,210955,159,2978,833
Mystia,11777,98.91,165918,246,1004,1116
-Machine-,11768,98.07,106413,190,1557,2565
Miseration,11767,98.18,116027,13,403,755
TopSp1n,11759,97.03,135183,637,1377,1233
Frosiito,11752,98.50,118358,72,1045,1359
Woffel,11751,99.17,106498,100,780,2035
WillCookie,11748,98.96,66419,1585,2312,1261
Ukase,11744,97.12,117246,37,1024,1531
Deruz,11743,97.34,61875,26,471,590
Fichi,11734,97.79,143417,100,751,704
_Shield,11726,99.10,67922,227,1637,1430
Fudy,11725,96.51,52534,6,470,460
Apraxia,11717,98.86,119873,155,1412,2293
SadnessWillSear,11715,99.21,110703,37,1276,919
osu gameur,11714,96.27,105538,39,743,889
iMey,11708,99.39,39539,23,513,311
Juandissimo,11706,98.01,53355,21,734,931
Wario,11700,98.58,131719,257,1688,2189
Moffo,11699,96.41,273118,235,1858,1105
Mecarl,11677,98.04,102235,48,1330,830
Fjell,11670,98.41,79197,52,768,970
Ceptin,11669,97.53,95560,50,712,1127
[- Momo -],11667,97.98,130112,59,813,1308
Jup3KW,11665,99.40,84417,102,946,1181
My Angelsim,11658,97.90,253887,917,3194,1012
Mokebe,11657,98.22,52475,30,341,582
Jerekek,11657,98.03,54120,29,224,463
- Sakura-,11647,97.78,65369,12,409,354
Monk Gyatso,11638,96.78,211492,85,2328,2737
Auji,11638,97.29,136465,23,1268,1567
Unexpected,11630,98.64,68325,26,974,1706
-Syncro,11629,97.71,76649,3,359,560
[ Blue ],11626,98.17,97802,98,987,1185
chankoma,11584,98.43,167180,398,1736,578
goosefedora,11568,98.82,154098,61,1600,930
Karuna,11555,98.63,86539,447,3296,2425
Pawla,11553,97.44,74454,54,833,1044
Riot,11550,98.07,102355,63,902,1016
rebella,11534,95.30,92052,23,501,486
M4-K1,11533,99.11,173187,145,1296,1590
Intercambing,11528,96.96,86785,144,1281,934
Toushi,11515,98.75,107964,88,1087,1171
Rupertion,11499,99.12,63506,102,908,936
rip fc,11487,96.23,77000,64,453,650
twoja stara,11483,99.17,89364,401,1493,977
Pray,11482,93.72,164105,46,3194,1177
Stoof,11476,99.08,94089,88,987,1418
KoaLeahq,11470,98.66,101100,127,1845,1230
_demo,11469,97.41,119631,196,1398,2238
Marek Marucha,11467,96.83,164933,27,1199,1523
CXu,11465,98.93,121845,883,3670,261
Skyrovania,11462,98.90,73238,18,745,1114
Lilily,11454,98.03,180928,6226,4621,2873
nick1324,11446,98.55,54446,51,872,776
Jaksonranger,11435,96.65,44244,10,295,1210
Aristia,11426,97.17,70755,112,2062,509
AbrahamR,11416,98.78,78984,130,1266,1021
Idealism,11414,98.04,98779,99,1691,1340
Azer,11398,99.13,99148,245,1414,969
Zakura,11391,98.11,98579,38,881,910
Orbi,11380,99.04,134746,102,1618,787
Calcium,11379,97.90,175175,47,1368,3936
Rhythm blue,11377,99.18,75578,6,973,882
ThatRandomguy,11373,99.03,109553,50,977,726
ChitogeOP,11373,98.14,151645,89,1183,1128
Ampharos,11368,97.54,58548,56,338,381
alien,11362,98.90,129546,60,969,1350
w1sp,11355,97.55,40102,32,649,879
ASecretBox 2,11343,98.82,126601,261,1075,1434
roliy,11339,97.67,60702,9,347,861
Sanze,11335,99.13,162906,110,1382,1142
Strauberry,11313,95.00,57436,2,164,216
Aden,11312,97.19,111787,34,1226,1421
Tekkito,11307,97.85,52217,42,707,1364
Sieela,11303,98.48,101675,24,660,762
Purps,11276,98.86,74514,69,639,1037
Smiljko,11267,98.76,94487,89,1095,1357
Delis,11266,99.35,96306,411,2349,833
[-Lockon-],11265,97.66,127431,35,1422,1527
Envy_ss,11259,96.60,100642,48,1163,730
cocona,11259,98.49,99134,181,779,877
Ansol,11256,97.12,58405,26,1209,1683
raycoN,11254,98.12,118360,69,854,926
DenierNezzar,11251,98.51,139250,97,2218,1650
LoliL0ver,11243,95.41,57953,22,1054,886
Recia,11237,99.19,106101,668,2866,281
Fangzy,11235,99.14,161642,1046,5444,593
SilverAkcel,11228,98.71,112072,49,778,631
Yakui,11211,96.72,40877,48,812,944
cmnk,11209,98.07,88009,118,1153,1328
Topoi,11205,96.77,89651,56,1135,1327
eden1109,11193,98.04,57929,9,296,539
ededed028,11189,97.80,110284,47,604,494
BlueSky-,11187,98.38,89829,22,840,963
Dizick,11187,98.53,140300,19,537,1244
-NeBu-,11184,98.89,96859,555,2090,753
Rebo,11170,98.40,60596,45,718,1253
kyorii,11170,97.07,68980,42,474,373
imagaK,11168,98.83,137815,290,3048,1452
DigiDrake,11163,99.16,124075,183,1656,742
Kurogami,11158,98.11,88550,100,1071,1033
fyre,11152,97.73,111441,225,747,981
MouseEasy,11151,98.53,124226,269,1568,1353
Avenito,11148,98.18,102511,45,563,744
ReaL motion,11141,99.29,166986,214,2911,1804
oni,11141,98.36,6735,27,116,155
Jageko,11128,97.90,169499,76,774,1088
worst dt player,11122,98.25,154871,173,1005,1499
DudsonZ,11114,99.08,101944,94,921,496
XVoIR,11111,97.71,64058,51,643,542
Numbers,11111,98.78,99494,24,837,1084
xootynator,11105,99.22,49115,81,636,532
AvA Pacifica,11102,98.60,87318,168,915,1181
-Zirba-,11102,98.80,79125,40,833,818
Maiaz,11097,98.31,39023,8,712,895
FunOrange,11093,99.24,81709,158,1239,1026
fea,11084,99.07,101572,526,696,384
Aseridan,11078,97.54,99950,26,363,550
Spark-desu,11078,97.34,106259,21,938,1029
karott90,11074,98.88,90825,454,3356,3168
Axarious,11072,97.35,65888,35,859,499
Spork Lover,11059,99.07,105683,322,3113,1922
a12456,11056,95.76,121075,40,3368,1117
Epiphany,11052,99.46,135486,535,1930,2152
fuduhasio,11051,98.56,192855,894,3128,1314
----,11051,96.38,101166,28,734,1115
Myst1k,11047,98.66,142687,141,1725,1460
mniminwoo,11031,99.15,140676,117,1454,1668
gunadharika,11019,94.68,40104,13,315,405
Flask,11014,98.84,70592,171,2342,1589
Cerkie,11011,99.14,164407,369,1549,1508
Area,11010,98.83,135996,243,2655,1479
Sickoh,11009,98.49,130744,61,740,824
bango,11004,97.54,98562,8,302,640
-raizen-,11002,99.02,147376,35,1416,1495
Korilak,10992,99.42,86442,73,530,690
Eunha -,10991,98.41,122780,31,251,251
xaxreid,10987,98.70,100329,33,596,1172
Tomatonium,10981,98.51,76435,181,1024,860
SlimeDrippy,10973,98.70,72451,36,911,370
kodama,10950,99.15,32204,73,1334,2356
Reimu-Desu,10945,99.41,114188,278,1786,653
not very smart,10937,95.75,72824,0,441,719
EmertxE,10936,97.27,190079,97,2045,1666
Telomere,10936,97.81,59708,30,716,668
-Konpaku-,10933,98.86,85338,67,1085,1037
Izuko Gaen,10932,99.09,59550,83,808,1411
Kynan,10931,98.87,195937,90,1967,2139
Doomsday fanboy,10924,96.31,94427,50,1067,562
Malolat,10922,99.10,111240,90,886,992
- Daichi -,10918,99.32,103413,249,1185,1864
Woey,10918,98.94,258877,2513,7485,1407
kuu01,10914,98.39,122247,50,1204,1786
Freezd,10912,99.28,76542,91,582,778
flae,10908,97.73,119092,92,482,433
CrtReXn,10891,99.18,136241,157,2216,2205
Zestiny,10890,95.48,77264,57,1221,1863
Rulyz,10887,99.38,15009,15,210,436
kirby mix,10885,98.51,142991,129,978,1449
Neta,10884,98.91,119327,366,4356,175
Suva,10882,97.72,155678,81,992,1047
gissirianko,10876,98.30,100092,149,1351,749
Tarulas,10874,98.77,89890,51,1125,594
intenseGoat,10873,98.45,78417,46,637,802
Diallo,10873,98.25,92120,78,832,1769
Beafowl,10869,99.40,114120,311,972,595
ruirui,10866,98.45,64420,40,529,662
TheOmyNomy,10865,99.10,98210,367,1627,438
Shpry,10858,96.57,82298,17,350,504
Chamosiala,10855,98.97,76194,413,2156,1624
BAKKALO,10853,97.51,111587,69,1070,1523
KevstracK,10852,98.08,103638,81,1015,1219
boleks,10852,99.27,131166,123,1717,1099
tomadoi,10847,98.76,78063,286,2014,1468
ASecretWaffle,10844,99.01,140656,89,1890,1331
dejiz,10842,97.20,53499,61,518,746
Gala,10841,98.43,89325,30,435,774
Math God,10826,97.27,96837,6,259,432
Xeltol,10825,98.39,97240,137,549,629
esio,10824,97.66,44280,13,653,358
Mayoler,10819,98.93,122856,190,2293,834
-Lane-,10818,98.49,73866,66,1010,1751
Zekker,10813,98.78,89715,712,767,650
PikaPwn,10808,99.32,73814,120,1035,1144
NerO,10806,98.02,128782,158,1766,1032
Shikke,10804,98.44,20044,51,288,423
kevjn,10803,98.42,34639,23,257,532
OPJames,10802,99.11,82896,59,951,1118
R1K50N,10799,96.38,59137,8,560,1421
Ranked,10798,95.89,68114,87,1595,1428
FreeZeR,10797,98.64,50963,150,1252,1322
MrFuture,10788,98.67,103885,116,559,608
Autistic Kid,10787,98.57,71051,44,757,1066
