hvick225,99.1,120950,8802,732,3151,563
rrtyui,98.54,168940,8437,309,1144,631
thelewa,99.39,162225,8097,887,3765,713
Small K,98.74,92859,7828,251,3367,467
- Firmament -,98.38,65573,7553,40,1407,547
Angelsim,99.19,72650,7472,118,919,276
PeaChick,99.5,172444,7406,362,2052,385
cptnXn,98.84,83522,7336,77,982,472
Nitro,99.52,149467,7182,340,1968,847
B e N i,99.11,117705,7165,410,2116,485
Nara,98.81,54540,7109,87,943,472
Gokuri,99.34,69898,7087,142,1246,742
Hanatan,98.8,84654,7049,88,1581,236
Silynn,98.8,170886,6992,469,2276,1507
Azer,99.12,47541,6956,116,630,411
Akiko-,97.71,95194,6917,146,1922,359
Adamqs,98.4,92097,6891,103,1150,579
SpringLane,97.8,42002,6878,52,1703,341
zeluaR,98.98,112044,6876,412,2001,56
Delis,98.23,71304,6842,292,1702,424
Guy,99.17,124019,6815,1430,3041,752
Rucker,98.95,130910,6809,3026,3568,417
yamemasita,98.44,143004,6796,59,914,609
N a n o,99,120038,6752,716,4566,120
BDDav,98.57,72951,6745,302,1341,271
sayonara-bye,98.74,100589,8636,162,2133,677
WubWoofWolf,99.44,162093,8280,2298,5994,440
Dungeon,98.82,144128,7900,211,2425,490
Rafis,98.68,76719,7637,124,924,327
Dsan,99.26,76772,7488,241,2361,292
HDHR,98.72,73672,7450,145,1025,555
isokasapupuja,98.7,92863,7384,68,1195,716
Dustice,98.76,65753,7325,100,1902,1045
Meltina,99,71829,7171,112,1242,555
talala,97.92,116880,7122,100,1548,1043
HAUHAU,98.82,154581,7105,303,1137,769
Mercurius,99.11,149036,7061,762,3527,365
wobeinimacao,98.98,138477,7006,90,3583,229
Tokichii,98.03,72184,6961,213,2804,424
Penew,98.29,61233,6947,56,1306,462
Yakumo Yukari,98.05,55234,6908,136,1967,425
MeCarL,97.42,63991,6885,33,941,594
Doomsday,97.68,191826,6877,854,5386,697
Kearnen,99.11,36018,6847,129,1163,776
JappyBabes,98.84,107712,6841,75,1304,548
Kynan,97.95,99545,6812,55,1334,1009
Bikko,99.79,19559,6803,121,715,264
HappyStick,97.34,86950,6786,79,1324,183
ffury,99.2,53398,6747,368,979,364
Elysion,98.17,63534,6744,27,579,930
Yuleiyu,98.79,123668,6617,464,2806,121
SteRRuM,98.89,36895,6595,45,427,485
SpringLane,97.24,39840,6561,51,1663,344
Emperorpenguin83,98.23,76089,6550,133,1610,301
Astar,97.7,70941,6533,84,1313,739
GGBY,98.27,144918,6522,1345,11456,118
Frostmourne,99.01,94215,6491,591,3512,471
OhAHO,97.88,127523,6475,193,1342,966
Michael,97.12,59423,6438,27,912,577
SyeruP,99.67,61868,6423,789,1150,638
InabaTewi,98.85,83466,6407,236,1823,228
sasakure,98.37,47953,6396,20,620,231
K i R i K a R u,99.09,82332,6385,463,2015,457
Shimox,98.44,114723,6356,226,1567,975
_index,98.81,12405,6345,36,503,170
Pyonta,98.49,95029,6316,143,972,236
Cien,98.24,72879,6301,178,2096,284
Homura-,99.1,72370,6297,1018,1960,193
Raydric,98.59,77222,6293,54,1051,632
yu-yy,98.21,106078,6271,390,2677,447
Arieeru,97.92,65435,6259,392,1801,415
Metro,98.89,56754,6250,443,1627,391
Forseen,99.17,180377,6225,788,2691,56
Splinter572,98.45,125988,6221,588,1263,469
KeigoClear,99.3,71969,6199,217,682,582
cr1m,98.89,197795,6615,1404,3926,406
CookEasy,98.78,106180,6575,63,1043,766
Potofu,99.44,59360,6553,1137,1194,18
Tokichii,97.58,69452,6537,209,2781,399
Vettel,97.85,140845,6526,218,1503,784
fartownik,98.86,186908,6492,111,2017,819
Black Sheep,98.95,130004,6479,431,2793,463
FukarioNN,98.76,116222,6464,134,2906,527
xsrsbsns,99.49,62919,6425,1696,2772,220
0OoMickeyoO0,99.08,48960,6416,812,2246,789
iLikeMudkipz,98.82,78767,6397,199,1102,250
pielak,98.85,44085,6389,5,1960,709
[ZN],97.5,100535,6370,34,996,832
Necro1,97.89,112116,6349,156,1470,694
ShadowSoul,99.2,127994,6324,926,3950,871
Lantana,97.28,53440,6314,17,639,910
PhaCeLia,98.17,67193,6300,196,1763,864
Michi,98.84,101989,6296,109,1518,609
Gyuunyu,99.02,85746,6282,108,1004,446
NerO,98.49,79368,6265,134,1093,482
Polaco,98.87,45856,6252,168,1335,618
