"1","idke","1","16172","99.21","60239","25","680","616"
"2","Vaxei","2","16146","98.7","136209","57","883","971"
"3","FlyingTuna","3","15990","98.06","89114","36","716","635"
"4","Freddie_Benson","4","15761","98.15","65622","14","502","898"
"5","Alumetri","5","15509","97.87","73596","19","468","417"
"6","Karthy","6","15287","98.94","137904","776","3524","2485"
"7","Varvalian","7","15230","99.36","194915","599","2350","1500"
"8","RyuK","8","15200","98.85","164241","106","1897","1192"
"9","Micca","9","15107","98.89","101744","74","737","589"
"10","Mathi","10","15065","98.64","147520","32","948","893"
"11","firebat92","11","14948","98.86","141795","178","1536","878"
"12","Dustice","12","14827","99.08","102663","131","2736","1771"
"13","Rafis","13","14784","98.83","265418","203","2068","1339"
"14","fieryrage","14","14776","97.59","102823","114","1431","1050"
"15","DanyL","15","14721","98.57","112766","106","1309","513"
"16","nathan_on_osu","16","14692","98.81","25860","109","724","563"
"17","azr8","17","14493","99.22","80336","37","583","1351"
"18","Spare","18","14477","99.04","144381","814","2649","2007"
"19","Weabole","19","14447","97.51","99450","47","271","222"
"20","filsdelama","20","14384","99.16","149128","272","1795","771"
"21","a_Blue","21","14267","95.27","112644","9","411","390"
"22","badeu","22","14149","97.6","76702","122","1407","1198"
"23","Abyssal","23","14122","99.06","120666","54","773","1137"
"24","Gayzmcgee","24","14068","98.55","113992","58","1008","1231"
"25","uyghti","25","14053","98.97","185496","129","1223","1372"
"26","ASecretBox","26","13866","98.63","143905","39","556","870"
"27","okinamo","27","13843","99.19","80724","55","884","1528"
"28","obtio","28","13789","97.36","163175","59","1046","1186"
"29","Gasha","29","13752","98.3","149324","315","2066","1487"
"30","lain","30","13695","98.57","188166","475","2117","867"
"31","Demonical","31","13666","98.15","146989","33","807","1016"
"32","-Hebel-","32","13658","98.49","138696","167","1646","812"
"33","Vamhi","33","13639","95.75","112669","16","348","499"
"34","BeasttrollMC","34","13552","98.71","92451","89","1600","1210"
"35","Dereban","35","13401","98.24","114401","83","891","1089"
"36","Umbre","36","13381","99.42","184955","235","1167","1784"
"37","Hide_On_Note","37","13312","99.05","38217","24","792","1061"
"38","FGSky","38","13286","94.66","208786","46","580","775"
"39","Arnold24x24","39","13234","98.04","133169","408","1272","858"
"40","Dumii","40","13132","98.03","160032","170","1928","2249"
"41","jpeg","41","13118","96.79","112364","21","369","774"
"42","mcy4","42","13109","97.49","181047","19","906","1355"
"43","Toy","43","13080","99.51","252282","7670","4000","1158"
"44","Afrodafro","44","13065","98.75","145603","67","796","1176"
"45","Wakson","45","13064","99.53","118864","197","958","1287"
"46","Bubbleman","46","13036","98.61","101460","130","1158","1763"
"47","Emilia","47","13029","95.8","112563","47","1619","1413"
"48","Ponytail","48","13006","96.12","79841","58","952","1216"
"49","im_a_fancy_lad","49","13000","97.4","55944","85","938","862"
"50","InBefore","50","12957","96.64","95043","5","356","719"
"51","Informous","51","12935","97.65","85133","63","900","1560"
"52","Yuuzinho","52","12931","98.41","167901","145","1193","1134"
"53","MoeYandere","53","12929","98.12","160014","39","1891","1318"
"54","Nameless_Player","54","12927","99.4","17042","136","969","936"
"55","Vento","55","12926","98.43","107722","102","721","465"
"56","Iliekwaffles","56","12914","97.66","81858","22","553","837"
"57","smh","57","12897","98.67","62175","83","725","873"
"58","Skydiver","58","12869","98.36","113394","54","840","1025"
"59","Maxim_Bogdan","59","12832","97.5","94935","91","698","584"
"60","dokidokilolixx","60","12828","94.58","108901","17","582","829"
"61","-PloX","61","12804","97.92","168391","185","842","1442"
"62","Ayla","62","12782","98.63","225197","28","523","1218"
"63","ThePooN","63","12762","98.85","88182","77","1268","997"
"64","MrBooM","64","12724","99.06","74541","41","1338","1035"
"65","Piggey","65","12703","98.98","158740","184","2392","1373"
"66","Mlaw","66","12674","99.27","105207","267","3259","1818"
"67","Bartek22830","67","12666","97.61","146039","182","1836","1833"
"68","X_i_a","68","12661","94.04","94411","10","663","736"
"69","-_Nikliu_-","69","12651","98.48","99446","58","1101","946"
"70","kablaze","70","12639","98.9","160429","955","2375","1765"
