"1","Mathi","1","13933","98.54","132214","31","854","710"
"2","Rafis","2","13840","98.99","242628","190","1919","1071"
"3","Cookiezi","3","13815","98.85","22102","89","647","488"
"4","firebat92","4","13731","98.96","138873","178","1502","818"
"5","filsdelama","5","13641","99.05","139021","228","1680","692"
"6","Vaxei","6","13339","98.57","124486","53","804","873"
"7","Abyssal","7","13186","99","102815","52","682","890"
"8","Karthy","8","13074","98.86","111342","668","3038","2133"
"9","idke","9","13030","99.18","49159","19","581","534"
"10","Azerite","10","13017","99.07","72533","28","496","1184"
"11","_RyuK","11","12754","98.17","121466","56","1348","757"
"12","Dustice","12","12525","98.94","94315","124","2534","1577"
"13","Freddie_Benson","13","12477","97.82","50718","11","424","729"
"14","Alumetri","14","12366","97.92","51477","8","242","265"
"15","FlyingTuna","15","12361","97.42","56952","28","436","399"
"16","fieryrage","16","12230","97.49","80858","98","1298","909"
"17","uyghti","17","12164","99.04","163219","114","1107","1229"
"18","Spare","18","12133","99.2","109495","623","2109","1517"
"19","Emilia","19","12024","96.41","95454","44","1392","1219"
"20","Toy","20","12007","99.43","224462","5977","3661","878"
"21","lain","21","12006","98.16","167644","449","1948","690"
"22","Yaong","22","12004","99.45","109264","981","2792","424"
"23","Black_W0lf","23","11942","99.26","257728","9502","9994","2038"
"24","ThePooN","24","11840","98.96","80641","64","1062","811"
"25","Rohulk","25","11807","99.44","51964","89","2392","2359"
"26","Dumii","26","11783","97.99","135406","126","1548","1942"
"27","-Hebel-","27","11776","98.45","118764","137","1481","607"
"28","reshi","28","11739","99.21","43494","58","1221","750"
"29","jot_bab","29","11725","98.61","83734","13","196","128"
"30","Bubbleman","30","11697","98.72","89750","110","985","1405"
"31","Piggey","31","11672","99.04","140169","140","2055","1072"
"32","bro_gamer72","32","11668","99.2","88932","31","697","826"
"33","Kip","33","11634","99.34","133898","806","2098","1433"
"34","mcy4","34","11629","96.95","153753","17","669","895"
"35","_index","35","11561","98.58","72158","428","1683","685"
"36","Wakson","36","11529","99.51","103288","163","779","989"
"37","MoeYandere","37","11489","98.54","132226","27","1598","938"
"38","Wilchq","38","11485","99.37","98877","2956","4538","376"
"39","Monko2k","39","11463","99.15","76585","100","1863","1908"
"40","-_Nikliu_-","40","11432","98.59","90672","54","1050","871"
"41","wuhua","41","11415","97.25","198345","285","1430","1189"
"42","DanyL","42","11381","97.54","88206","85","942","346"
"43","smh","43","11372","98.91","42612","62","533","587"
"44","Koba","44","11324","99.43","220884","467","1823","1211"
"45","MrBooM","45","11305","99.19","64114","31","1055","770"
"46","HappyStick","46","11300","98.49","209458","159","2921","757"
"47","badeu","47","11257","97.65","55547","79","1102","845"
"48","Flaven","48","11252","99.06","134707","156","1118","1202"
"49","Xilver","49","11246","99.02","272263","269","2242","1497"
"50","Mlaw","50","11238","99.26","97562","223","3027","1436"
"51","Flaven","51","11252","99.06","135508","156","1122","1220"
"52","a_Blue","52","11230","95.07","91584","9","357","321"
"53","Neliel","53","11198","98.76","138675","34","1709","872"
"54","Musty","54","11197","99.19","117708","127","1877","1505"
"55","Adamqs","55","11181","99.11","172999","370","2544","1232"
"56","Afrodafro","56","11176","98.52","125214","66","746","1030"
"57","ItsKevZii","57","11160","98.74","142128","60","1395","1351"
"58","Arnold24x24","58","11146","98.81","116695","338","1055","767"
"59","BeasttrollMC","59","11142","98.89","78910","52","1161","825"
"60","4RTRAID","60","11093","97.73","99939","202","1685","1175"
"61","talala","61","11084","98.62","204488","138","2522","1731"
"62","Astar","62","11078","97.38","155683","100","1872","1470"
"63","Usagi_sama","63","11066","99.45","81715","169","1147","653"
"64","SoraRoxas01","64","11040","98.88","75548","248","3659","1562"
"65","Viveliam","65","11024","99.28","170092","50","1773","1633"
"66","Apraxia","66","10993","98.98","106855","132","1201","1914"
"67","Risiing","67","10948","99.08","109679","214","1260","652"
"68","Mystia","68","10941","98.95","141252","198","776","801"
"69","ffury","69","10935","99.14","74777","389","1325","644"
"70","Red_Pixel","70","10912","98.68","100027","47","865","1001"
"71","Skydiver","71","10898","98.19","87635","33","593","824"
"72","Mizuru","72","10888","99.08","91736","91","956","1166"
"73","dokidokilolixx","73","10860","93.76","70085","16","423","542"
"74","Rizer","74","10860","99.42","98951","1883","4781","915"
"75","ikaNyai","75","10820","95.68","58050","329","397","683"
"76","imagaK","76","10809","98.9","126004","279","2765","1209"
