Cookiezi	1	13954	98.73	18749 	77	585	391
Rafis	2	13451	99.03	217417 	183	1,732	858
Vaxei	3	13428	98.28	107280 	46	673	673
firebat92	4	13255	98.79	129960 	167	1,428	708
filsdelama	5	13135	98.94	123658 	216	1,609	570
hvick225	6	12421	98.93	134059 	826	3,471	700
Emilia	7	11967	96.70	78865 	39	1,174	974
Azerite	8	11738	98.50	59302 	24	392	874
Rohulk	9	11724	99.43	41406 	70	2,084	1,882
My_Angel_MrBooM	10	11661	98.95	119941 	94	1,709	757
Dustice	11	11520	98.95	86836 	117	2,382	1,406
Green_NPC	12	11469	98.92	87039 	23	752	893
Spare	13	11449	99.16	74317 	377	1,477	1,027
_index	14	11347	98.74	57622 	426	1,538	517
HappyStick	15	11322	98.52	184230 	147	2,612	488
Mathi	16	11276	98.64	102872 	31	639	557
DanyL	17	11248	97.33	80117 	79	838	295
-Konpaku-	18	11198	98.99	80714 	85	1,249	1,016
_RyuK	19	11183	98.55	72089 	28	942	638
idke	20	11130	98.67	41864 	16	500	390
Gayzmcgee	21	11098	99.20	80810 	29	670	733
Yaong	22	11098	99.39	100043 	620	2,050	621
talala	23	11069	98.71	194718 	136	2,452	1,535
Adamqs	24	11054	99.34	144820 	146	1,895	1,026
Wilchq	25	10917	99.31	84833 	1,486	3,810	253
Musty	26	10871	99.27	105407 	119	1,749	1,340
Toy	27	10863	99.39	182678 	3,239	3,335	623
Sanze	28	10853	99.19	156726 	110	1,376	1,054
Mizuru	29	10853	99.07	85929 	89	939	1,043
CXu	30	10813	98.92	109681 	866	3,608	153
Recia	31	10779	99.01	100990 	666	2,740	190
kablaze	32	10770	99.33	110807 	556	1,753	1,065
Astar	33	10675	98.26	136334 	129	2,053	1,389
-Zirba-	34	10655	98.83	78874 	40	829	809
Arnold24x24	35	10623	98.85	97903 	265	1,208	880
Axarious	36	10612	97.24	63265 	35	855	475
Dunois	37	10605	99.02	100312 	182	1,468	1,126
Bubbleman	38	10567	98.62	73509 	77	801	1,145
Weabole	39	10545	98.24	78070 	48	231	184
rustbell	40	10508	97.62	68281 	140	2,209	998
WubWoofWolf	41	10501	99.37	223640 	7,976	9,732	1,856
Tarulas	42	10466	98.84	81129 	50	1,072	521
Mlaw22	43	10466	99.16	90220 	207	2,889	1,240
Azer	44	10379	98.98	80039 	209	1,119	737
uyghti	45	10371	99.11	131672 	109	941	942
Plz_Enjoy_Game	46	10342	98.05	90085 	317	2,984	2,272
Monko2k	47	10342	99.03	58728 	83	1,488	1,443
FunOrange	48	10341	99.30	74040 	153	1,127	809
Xilver	49	10332	99.17	215234 	174	1,590	727
MouseEasy	50	10319	97.90	113704 	241	1,447	1,141
fieryrage	51	10313	98.12	61103 	76	1,195	735
Afrodafro	52	10312	98.86	97603 	67	671	774
zeluaR	53	10273	99.36	148196 	480	2,458	90
-Hebel-	54	10249	98.97	94283 	120	1,310	396
Vettel	55	10243	98.99	218902 	337	2,081	1,110
Akcel	56	10238	98.95	93550 	48	742	477
Dumii	57	10237	98.34	110692 	77	1,256	1,661
Neliel	58	10221	98.73	121972 	32	1,574	719
mcy3	59	10207	96.88	125660 	15	552	596
NerO	60	10188	97.81	116298 	152	1,647	793
Reimu-Desu	61	10179	99.36	109359 	288	1,825	587
ThePooN	62	10167	98.74	70640 	54	850	570
Karthy	63	10161	98.96	77499 	288	1,979	1,786
kuu01	64	10153	98.43	112620 	49	1,156	1,581
Yaong_Loli	65	10127	99.29	118448 	139	1,041	1,018
MrBooM	66	10095	99.02	50216 	21	819	552
Ceptin	67	10084	98.21	76657 	40	546	783
bango	68	10078	97.68	80968 	6	283	515
iamVill	69	10072	98.34	47167 	27	628	475
Smoothie_World	70	10069	98.84	83583 	113	892	1,529
-_Nikliu_-	71	10049	98.64	72475 	46	958	707
MiruHong	72	10028	99.39	125568 	308	799	498
Beafowl	73	10019	99.37	103073 	295	908	399
jackylam5	74	10011	98.15	106229 	134	2,227	817
Reyuza	75	10003	99.05	59074 	62	885	795
DoKito	76	9968	99.37	69422 	106	1,780	1,387
Wookiezi	77	9893	98.92	65638 	85	497	657
Zavarka	78	9892	98.85	150057 	1,321	1,702	982
Apraxia	79	9892	99.03	91663 	103	920	1,501
MyAngelNamirin	80	9889	97.63	115289 	234	3,349	778
Rucker	81	9879	99.45	173694 	3,734	4,335	732
aleho8	82	9862	98.36	45133 	23	774	810
MoeYandere	83	9854	98.35	103545 	18	1,377	769
obtio	84	9842	98.77	101476 	51	859	816
Aireu	85	9825	98.57	134795 	406	1,727	504
Emperorpenguin83	86	9824	99.25	111077 	198	2,411	1,045
[_Zane_]	87	9804	98.71	129010 	132	2,064	1,004
waaiiru	88	9784	98.19	154102 	110	1,433	1,237
Mayoler	89	9776	98.75	111247 	166	2,126	735
Fedora_Goose	90	9768	98.71	131778 	58	1,283	670
1E308	91	9740	99.38	13438 	124	780	646
Red_Pixel	92	9708	98.83	87649 	40	725	775
Flask	93	9707	98.81	56755 	128	1,810	1,030
Splinter572	94	9702	98.50	196371 	686	1,824	792
Zeisen-	95	9701	98.37	48781 	14	595	813
freedomdiver	96	9691	91.21	39092 	237	843	322
Loli_Silica	97	9689	98.53	99999 	298	3,362	901
Dereban	98	9684	98.18	87819 	76	737	885
hallowatcher	99	9664	99.55	98615 	129	1,105	866
Korilak	100	9657	99.40	61371 	38	421	474
Elysion	101	9562	98.28	92501 	34	779	1,339
EmertxE	102	9553	98.30	144158 	35	1,642	1,078
Avenging_Goose	103	9551	99.26	54730 	141	863	765
Rizer	104	9551	99.39	76306 	1,359	3,313	485
Flask	105	9545	98.63	55619 	123	1,729	1,020
AtHeoN	106	9537	99.17	122404 	102	1,742	678
Spook	107	9523	97.90	105293 	117	1,080	1,305
hshs	108	9521	98.99	143330 	231	2,205	1,013
My_Aim_Trash	109	9506	99.48	154548 	202	1,624	1,606
Splinter572	110	9502	98.78	191552 	685	1,784	776
Meltina	111	9498	99.15	105235 	160	1,899	763
Castiel	112	9494	99.08	57570 	190	2,590	1,106
Smoothie_World	113	9479	98.75	80246 	108	873	1,469
cmnk	114	9474	98.64	78438 	104	986	959
